  10541553265 1H  40780121322220332 0 031 64211001 0182100001821126104 12 00002 0 0000198 0 0 0198 0 0 00 00 002171177777112 11 0 00001000CA20 00 57100312213212
  1062135645637N  24281411122221232 0 031 61211001 05003000050032 1204 11232402 0 00001212019 3198 0 0 02 41 182177172772172 11 0 00001000LA01 00 10111321313212
  1072135695637N  2428141112122123115 131 63220900 00000000000002 120414123240198988001 398 0 01 41498 02422 031111111221111 11 0 00001000TX01 00 16121321413212
  10841547149 1A  44150211212125221481053 04212211 01723000017233 5424322 00002 0 00003 0 0 0 03 0 0 0 02461 431122722112222 40 0 0222 621ZZ08122 42162211311111
  1094152346513H  37100111122222232 0 013 03213001 05003000050033 4414312 00002 0 00003 0 0 0 01 498 0 03 02 032722127171712 30 0 0122 481ZZ08152 16122112321111
  1102137325637N  21931421122228332 0 073 03120901 01123000011236 3301222 0000198988001 398 0 01 198 0 02982 022122222122113 11 0 00001000CA30 00 64270021113212
  1112137475637K2217020222022220332 0 063 04120901 01123000011233 5424 02 00002 0 00003 0 0 0 03 0 0 0 08 02 080000000000000 00 0 08881008ZZ08 00100000013520010
  11241563549 1H  43220111122225232 0 032 13212001 0500300005003118104320 00002 0 00003 0 0 0 0198 0 0 00 00 002222271111223 11 0 00001000CO02 00 15162311323212
  1134154394913N3132011421122222332 0 032 24212122 40000111111111181042712310213132102198 0 0 0198 0 0 00 00 002112122121223 11 0 00001000ND02 00 50150321213212
  11441553365 1K  40640222022223332 0 073 03120902 20000182118213 5424310 00002 0 00001 34598 03 0 0 0 02422 022222121112112 40 0 0222 792ZZ08120 62130311311111
  1154154394913N3132011422022224232 0 053 04212002 40000112111213 8454 12 00002 0 00002 198 0 03 0 0 0 02 51 127122221112222 00 0 0118 742ZZ08160 40160322320111
  11641588749 1H  43750122022226332 0 013 04312211 0141300001413648302311 72102 0 0000198 0 0 03 0 0 0 00 00 001111111112223 00 0 0128 731ZZ08 00 48210321310212
  1174082808285N  50100421222227322 0 013 06111001 01523000015236 3301231208002 0 000012698 0 01981015981 02 017771277720173 12 2 20001000CA20 10 60200321312111
  1184158228575N   2321411122221231271031123213002 40000162116212 1204311202402 0 0000198 0 0 00 0 0 0 02421 422122172121123 11 0 00001000LA01 00 27171321113212
  1192132215637H  20170111122218321 21013 06120901 01113000011131 3301 11232102 0 00001982298 012598 0 03 01 722122122211113 12 1 20001000CA10 12 59251311112111
  12041553465 1N  40780411122220332 0 063 02213001 0500300005003140104122 00002 0 00003 0 0 0 03 0 0 0 00 00 007771722277112 1213130001000PA01971 13011323322111
  1214158228575N   232141112222133112 131 61215001 05003000050032 1204231232402 0 00001 398 0 01 498 0 01 01 112111111121122 11 0 00001000LA01 00  6101311113212
  1226194798073H  32020111122220332 0 013 03213212 4000015131513198604 02 00002 0 000014298 0 03 0 0 0 08 08 082112111212113 11 0 00001000CA30 00 56121322313212
  1232139315637N  2201141112222223112 132 26420901 0500300005003130104142 00002 0 000012698 0 0198 0 0 00 00 002121111121122 1213130001000SD01 00 18121321112212
  1242132235637K  20170222022226332 0 073 06212111 01523000015233 5424312 00002 0 0000198 0 0 01 498 0 02981 132117172111112 60 0 0112 792ZZ08120 51140212321111
  1252137475637K  22641211122221332 0 063 06120901 01122000011223 5424 11988002 0 00001 398 0 03 0 0 0 03 01 422122112111222 12 4 40001000CA10122 58131311112111
  1262094865219N     91421322224232 0 013 03120901 0200100002001139104362 00002 0 00001 198 0 013498 0 00 00 002712112111123 11 0 00001000CA20 00 60180011113212
  1272133966937N  2733042112221222121 431 86313111 04003000040032 1204361232302 0 000011498 0 01 598 0 02 41 111111117211172 11 0 00001000CA10 00 45120322213212
  12841526165 1N  40780411122221332 0 073 05120902 2000015211521126104 02 00002 0 00001 298 0 03 0 0 0 00 00 002122122121223 11 0 00001000CA30 00 57161321113212
  1292138996737N1041021411122223332 0 013 02214002 4000050035003118104271 82402 0 00001222098 012398 0 00 00 001111111112111 11 0 00001000WI01 00 23133321313212
  1304154394913N3132011421121223332 0 032173120902 30000600360032 1204251312402 0 00001 32698 0198 0 0 02421 121117102121113 11 0 00001000CA20 00 49210112323212
  1312137235637N  2222141111222223149 132174111111 01113000011132 1204 11312402 0 0000198 398 03 0 0 0 02421 182721172121223 11 0 00001000OK01 00 61133311113212
  13241578249 1H  43730111221221332 0 013 04213311 01811000018116 330131120240131161020 0 0 0 012598 0 08 01 421111122111722 00 0 0118 691ZZ08 12 46132311310111
  1332133476737H1349020111122221232 0 043 03212001 0500300005003199504312 00002 0 00003 0 0 0 03 0 0 0 00 00 007117121777113 1216160001000MA02 00 14121312222212
  13441579349 1H  4441011111222312150 913 04213001 050010000500119940424131210123312103 0 0 0 03 0 0 0 08 08 082112121171222 1213130001000MA01972 11171312112111
  13541553365 1N  40780411322228232 0 032174311111 0142100001421123104432 00002 0 00001 32698 0198 0 0 00 00 002722122111223 11 0 00001000CA20 00 41151211113212
